,accuracy,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,,0,0,0,0,0.0,,
0,0.7513227513227513,12,68,19,1889,1.346212920248922,21.0,single_best
0,0.0,44,64,55,644,2.190493040736401,22.0,single_best
0,0.7032258064516129,10,16,11,1547,1.4981346235719994,23.0,single_best
0,0.05025125628140704,17,52,35,1982,1.2601990153959441,24.0,single_best
0,0.9830508474576272,2,4,3,588,2.000541953118942,25.0,single_best
0,0.5901639344262295,18,59,32,1215,0.6414816157794592,27.0,single_best
0,0.019867549668874173,23,86,52,1507,1.6528662764047548,28.0,single_best
0,0.5466666666666666,7,9,8,745,1.9297633440175364,29.0,single_best
0,0.02,26,93,31,993,1.5249317047543183,30.0,single_best
0,0.25217391304347825,26,98,62,1144,0.510126070303357,32.0,single_best
0,0.13793103448275862,5,22,10,869,2.4369860904533374,33.0,single_best
0,0.01694915254237288,11,48,28,589,2.128721556008676,34.0,single_best
0,0.9859154929577465,2,4,2,709,2.1044330992324736,35.0,single_best
0,0.9657534246575342,2,17,3,1454,1.0685669580360273,36.0,single_best
0,0.8909090909090909,2,9,6,1100,2.4478643156069904,37.0,single_best
0,0.7979274611398963,5,13,6,1927,1.9730820756996046,38.0,single_best
0,0.9615384615384616,2,11,7,1820,2.2578902037780524,40.0,single_best
0,0.9594594594594594,2,8,4,737,1.8413178142380215,41.0,single_best
0,0.8282828282828283,10,15,12,1973,0.5318166395837574,42.0,single_best
0,0.06626506024096386,10,54,24,1658,2.4464014470661017,43.0,single_best
0,0.016129032258064516,28,82,52,614,1.0668179074058874,44.0,single_best
0,0.08064516129032258,6,54,25,620,2.377258286639808,45.0,single_best
0,0.9285714285714286,4,31,10,1815,0.9021905066317273,46.0,single_best
0,0.006993006993006993,36,69,53,1429,1.091189684552797,47.0,single_best
0,0.07954545454545454,9,20,13,877,2.093562105995667,50.0,single_best
